,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.625,32,1,16,115
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.727,22,1,11,79
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.667,12,1,6,43
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.692,26,1,13,93
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.4289999999999,14,1,7,50
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.333,30,1,15,107
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.75,16,1,8,57
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.111,18,1,9,64
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,20,1,10,71
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.364,22,1,11,78
10,0.0,0.0,0.0361328125,0.034827232360839844,0.0,0.0,0.0361328125,0.034827232360839844,0.0,0.0,0.0361328125,0.034827232360839844,1145.833,24,1,12,85
11,0.0,0.0,0.259765625,0.19228744506835938,0.0,0.0,0.259765625,0.19228744506835938,0.0,0.0,0.259765625,0.19228744506835938,1153.846,26,1,13,92
12,0.0,0.0,0.4560546875,0.24806880950927734,0.0,0.0,0.4560546875,0.24806880950927734,0.0,0.0,0.4560546875,0.24806880950927734,1160.7140000000004,28,1,14,99
13,0.0,0.0,0.765625,0.179443359375,0.0,0.0,0.765625,0.179443359375,0.0,0.0,0.765625,0.179443359375,1166.667,30,1,15,106
14,0.0,0.0,0.802734375,0.15835189819335938,0.0,0.0,0.802734375,0.15835189819335938,0.0,0.0,0.802734375,0.15835189819335938,1171.875,32,1,16,113
15,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1250.0,12,1,6,42
16,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1328.125,32,1,16,111
17,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1333.333,30,1,15,104
18,2.017578125,0.017269134521484375,2.0,0.0,2.017578125,0.017269134521484375,2.0,0.0,2.017578125,0.017269134521484375,2.0,0.0,1339.286,28,1,14,97
19,2.3837890625,0.2364950180053711,2.0,0.0,2.3837890625,0.2364950180053711,2.0,0.0,2.3837890625,0.2364950180053711,2.0,0.0,1346.154,26,1,13,90
20,2.3388671875,0.22403621673583984,2.0,0.0,2.3388671875,0.22403621673583984,2.0,0.0,2.3388671875,0.22403621673583984,2.0,0.0,1354.1670000000001,24,1,12,83
21,2.7099609375,0.2059164047241211,2.0,0.0,2.7099609375,0.2059164047241211,2.0,0.0,2.7099609375,0.2059164047241211,2.0,0.0,1363.636,22,1,11,76
22,3.0986328125,0.10648250579833984,2.0,0.0,2.994140625,0.011684417724609375,2.0,0.0,3.203125,0.388427734375,2.0,0.0,1375.0,20,1,10,69
23,3.5224609375,0.6264486312866211,2.0,0.0,3.208984375,0.3742942810058594,2.0,0.0,3.8359375,1.30902099609375,2.0,0.0,1388.889,18,1,9,62
24,3.7568359375,0.8539571762084961,2.0,0.0,3.310546875,0.5246543884277344,2.0,0.0,4.203125,1.677490234375,2.0,0.0,1406.25,16,1,8,55
25,5.4931640625,0.9530782699584961,2.0,0.0,4.48828125,0.7615814208984375,2.0,0.0,6.498046875,1.4472618103027344,2.0,0.0,1416.6670000000001,30,1,15,103
26,6.072265625,0.4225120544433594,2.0,0.0,4.9453125,0.18450927734375,2.0,0.0,7.19921875,1.1243743896484375,2.0,0.0,1428.571,14,1,7,48
27,7.083984375,0.8816184997558594,2.0,0.0,5.6796875,2.06927490234375,2.0,0.0,8.48828125,0.7615814208984375,2.0,0.0,1442.308,26,1,13,89
28,8.76953125,0.3589935302734375,2.0,0.0,8.5380859375,1.432143211364746,2.0,0.0,9.0009765625,0.0009756088256835938,2.0,0.0,1458.3329999999999,12,1,6,41
29,9.1572265625,0.1325063705444336,2.0,0.0,9.1572265625,0.1325063705444336,2.0,0.0,9.1572265625,0.1325063705444336,2.0,0.0,1477.273,22,1,11,75
