,theta mu rise,theta var rise,theta mu fall,theta var fall,theta delay (ps),m,n,c,ps_bumps
0,128.0,0.0,128.0,0.0,2019.231,26,1,13,83
1,128.0,0.0,128.0,0.0,2031.25,16,1,8,51
2,128.0,0.0,128.0,0.0,2045.455,22,1,11,70
3,128.0,0.0,128.0,0.0,2053.571,28,1,14,89
4,128.0,0.0,128.0,0.0,2083.333,12,1,6,38
5,128.0,0.0,128.0,0.0,2109.375,32,1,16,101
6,128.0,0.0,128.0,0.0,2115.385,26,1,13,82
7,128.0,0.0,128.0,0.0,2125.0,20,1,10,63
8,128.0,0.0,128.0,0.0,2142.857,14,1,7,44
9,128.0,0.0,128.0,0.0,2159.091000000001,22,1,11,69
10,128.0,0.0,128.0,0.0,2166.667000000001,30,1,15,94
11,128.0,0.0,128.0,0.0,2187.5,16,1,8,50
12,128.0,0.0,128.0,0.0,2211.538,26,1,13,81
13,128.0,0.0,128.0,0.0,2222.222,18,1,9,56
14,128.0,0.0,128.0,0.0,2232.143,28,1,14,87
15,128.0,0.0,128.0,0.0,2250.0,20,1,10,62
16,128.0,0.0,128.0,0.0,2265.625,32,1,16,99
17,128.0,0.0,128.0,0.0,2272.7270000000008,22,1,11,68
18,128.0,0.0,128.0,0.0,2291.667,12,1,6,37
19,128.0,0.0,128.0,0.0,2307.692,26,1,13,80
20,128.0,0.0,128.0,0.0,2321.429,14,1,7,43
21,128.0,0.0,128.0,0.0,2333.333,30,1,15,92
22,128.0,0.0,128.0,0.0,2343.75,16,1,8,49
23,128.0,0.0,128.0,0.0,2361.111,18,1,9,55
24,128.0,0.0,128.0,0.0,2375.0,20,1,10,61
25,128.0,0.0,128.0,0.0,2386.364,22,1,11,67
26,128.0,0.0,128.0,0.0,2395.833,24,1,12,73
27,128.0,0.0,128.0,0.0,2403.846,26,1,13,79
28,128.0,0.0,128.0,0.0,2410.714,28,1,14,85
29,128.0,0.0,128.0,0.0,2416.667,30,1,15,91
30,128.0,0.0,128.0,0.0,2421.875,32,1,16,97
31,128.0,0.0,128.0,0.0,2500.0,12,1,6,36
32,128.0,0.0,128.0,0.0,2578.125,32,1,16,95
33,128.0,0.0,128.0,0.0,2583.333,30,1,15,89
34,128.0,0.0,128.0,0.0,2589.286,28,1,14,83
35,128.0,0.0,128.0,0.0,2596.154,26,1,13,77
36,128.0,0.0,128.0,0.0,2604.167,24,1,12,71
37,128.0,0.0,128.0,0.0,2613.636,22,1,11,65
38,128.0,0.0,128.0,0.0,2625.0,20,1,10,59
39,128.0,0.0,128.0,0.0,2638.889,18,1,9,53
40,128.0,0.0,128.0,0.0,2656.25,16,1,8,47
41,128.0,0.0,128.0,0.0,2666.667000000001,30,1,15,88
42,128.0,0.0,128.0,0.0,2678.571000000001,14,1,7,41
43,128.0,0.0,128.0,0.0,2692.308,26,1,13,76
44,128.0,0.0,128.0,0.0,2708.333,12,1,6,35
45,128.0,0.0,128.0,0.0,2727.2729999999997,22,1,11,64
46,128.0,0.0,128.0,0.0,2734.375,32,1,16,93
47,128.0,0.0,128.0,0.0,2750.0,20,1,10,58
48,128.0,0.0,128.0,0.0,2767.857,28,1,14,81
49,128.0,0.0,128.0,0.0,2777.778,18,1,9,52
50,128.0,0.0,128.0,0.0,2788.462,26,1,13,75
51,128.0,0.0,128.0,0.0,2812.5,16,1,8,46
52,128.0,0.0,128.0,0.0,2833.333,30,1,15,86
53,128.0,0.0,128.0,0.0,2840.909,22,1,11,63
54,128.0,0.0,128.0,0.0,2857.143,14,1,7,40
55,128.0,0.0,128.0,0.0,2875.0,20,1,10,57
56,128.0,0.0,128.0,0.0,2884.615,26,1,13,74
57,128.0,0.0,128.0,0.0,2890.625,32,1,16,91
58,128.0,0.0,128.0,0.0,2916.667,12,1,6,34
59,128.0,0.0,128.0,0.0,2946.429,28,1,14,79
60,128.0,0.0,128.0,0.0,2954.545,22,1,11,62
61,128.0,0.0,128.0,0.0,2968.75,16,1,8,45
62,128.0,0.0,128.0,0.0,2980.7690000000002,26,1,13,73
63,128.0,0.0,128.0,0.0,3000.0,20,1,10,56
64,128.0,0.0,128.0,0.0,3020.833,24,1,12,67
65,128.0,0.0,128.0,0.0,3035.7140000000004,14,1,7,39
66,128.0,0.0,128.0,0.0,3046.8750000000005,32,1,16,89
67,128.0,0.0,128.0,0.0,3055.5559999999996,18,1,9,50
68,128.0,0.0,128.0,0.0,3068.1820000000002,22,1,11,61
69,128.0,0.0,128.0,0.0,3076.923,26,1,13,72
70,128.0,0.0,128.0,0.0,3083.333,30,1,15,83
71,128.0,0.0,128.0,0.0,3125.0,12,1,6,33
72,128.0,0.0,128.0,0.0,3166.667,30,1,15,82
73,128.0,0.0,128.0,0.0,3173.077,26,1,13,71
74,128.0,0.0,128.0,0.0,3181.818,22,1,11,60
75,128.0,0.0,128.0,0.0,3194.4440000000004,18,1,9,49
76,128.0,0.0,128.0,0.0,3203.125,32,1,16,87
77,128.0,0.0,128.0,0.0,3214.2859999999996,14,1,7,38
78,128.0,0.0,128.0,0.0,3229.167,24,1,12,65
79,128.0,0.0,128.0,0.0,3250.0,20,1,10,54
80,128.0,0.0,128.0,0.0,3269.2309999999998,26,1,13,70
81,128.0,0.0,128.0,0.0,3281.25,16,1,8,43
82,128.0,0.0,128.0,0.0,3295.455000000001,22,1,11,59
83,128.0,0.0,128.0,0.0,3303.571,28,1,14,75
84,128.0,0.0,128.0,0.0,3333.333,12,1,6,32
85,128.0,0.0,128.0,0.0,3359.375,32,1,16,85
86,128.0,0.0,128.0,0.0,3365.385,26,1,13,69
87,128.0,0.0,128.0,0.0,3375.0,20,1,10,53
88,128.0,0.0,128.0,0.0,3392.857,14,1,7,37
89,128.0,0.0,128.0,0.0,3409.091000000001,22,1,11,58
90,128.0,0.0,128.0,0.0,3416.667,30,1,15,79
91,128.0,0.0,128.0,0.0,3437.5000000000005,16,1,8,42
92,128.0,0.0,128.0,0.0,3461.538,26,1,13,68
93,128.0,0.0,128.0,0.0,3472.222000000001,18,1,9,47
