,M,D,O,n,Fvco,Fref,Fout,Fout (MHz),delay,delay (ps)
535,160,1,16,127,1600000000.0,10000000,100000000.0,100.0,7.8125e-11,78.125
471,150,1,15,119,1500000000.0,10000000,100000000.0,100.0,8.3333e-11,83.333
383,140,1,14,111,1400000000.0,10000000,100000000.0,100.0,8.9286e-11,89.286
327,130,1,13,103,1300000000.0,10000000,100000000.0,100.0,9.6154e-11,96.154
251,120,1,12,95,1200000000.0,10000000,100000000.0,100.0,1.04167e-10,104.167
203,110,1,11,87,1100000000.0,10000000,100000000.0,100.0,1.13636e-10,113.63599999999998
159,100,1,10,79,1000000000.0,10000000,100000000.0,100.0,1.25e-10,125.00000000000001
119,90,1,9,71,900000000.0,10000000,100000000.0,100.0,1.38889e-10,138.88899999999998
83,80,1,8,63,800000000.0,10000000,100000000.0,100.0,1.5625e-10,156.25
470,150,1,15,118,1500000000.0,10000000,100000000.0,100.0,1.66667e-10,166.667
51,70,1,7,55,700000000.0,10000000,100000000.0,100.0,1.78571e-10,178.571
326,130,1,13,102,1300000000.0,10000000,100000000.0,100.0,1.92308e-10,192.308
23,60,1,6,47,600000000.0,10000000,100000000.0,100.0,2.08333e-10,208.333
202,110,1,11,86,1100000000.0,10000000,100000000.0,100.0,2.27273e-10,227.27300000000002
533,160,1,16,125,1600000000.0,10000000,100000000.0,100.0,2.34375e-10,234.37499999999997
158,100,1,10,78,1000000000.0,10000000,100000000.0,100.0,2.5e-10,250.00000000000003
381,140,1,14,109,1400000000.0,10000000,100000000.0,100.0,2.67857e-10,267.857
118,90,1,9,70,900000000.0,10000000,100000000.0,100.0,2.77778e-10,277.77799999999996
325,130,1,13,101,1300000000.0,10000000,100000000.0,100.0,2.88462e-10,288.46200000000005
82,80,1,8,62,800000000.0,10000000,100000000.0,100.0,3.125e-10,312.5
468,150,1,15,116,1500000000.0,10000000,100000000.0,100.0,3.33333e-10,333.333
201,110,1,11,85,1100000000.0,10000000,100000000.0,100.0,3.40909e-10,340.909
50,70,1,7,54,700000000.0,10000000,100000000.0,100.0,3.57143e-10,357.14300000000003
157,100,1,10,77,1000000000.0,10000000,100000000.0,100.0,3.75e-10,375.0
324,130,1,13,100,1300000000.0,10000000,100000000.0,100.0,3.84615e-10,384.615
531,160,1,16,123,1600000000.0,10000000,100000000.0,100.0,3.90625e-10,390.625
22,60,1,6,46,600000000.0,10000000,100000000.0,100.0,4.16667e-10,416.6670000000001
379,140,1,14,107,1400000000.0,10000000,100000000.0,100.0,4.46429e-10,446.42900000000003
200,110,1,11,84,1100000000.0,10000000,100000000.0,100.0,4.54545e-10,454.5450000000001
81,80,1,8,61,800000000.0,10000000,100000000.0,100.0,4.6875e-10,468.74999999999994
323,130,1,13,99,1300000000.0,10000000,100000000.0,100.0,4.80769e-10,480.769
156,100,1,10,76,1000000000.0,10000000,100000000.0,100.0,5e-10,500.00000000000006
247,120,1,12,91,1200000000.0,10000000,100000000.0,100.0,5.20833e-10,520.833
49,70,1,7,53,700000000.0,10000000,100000000.0,100.0,5.35714e-10,535.714
529,160,1,16,121,1600000000.0,10000000,100000000.0,100.0,5.46875e-10,546.875
116,90,1,9,68,900000000.0,10000000,100000000.0,100.0,5.55556e-10,555.5559999999999
