,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
16511,32,1,160,1279,1600000000.0,1562500.0,50000000,10000000.0,10.0,7.812499999999925e-11,78.12499999999925,1.8121349834882583
15487,31,1,155,1239,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,8.064516129031498e-11,80.64516129031497,1.7871977779180608
10783,27,1,135,1079,1350000000.0,1851851.851851852,50000000,10000000.0,10.0,9.259259259258975e-11,92.59259259258975,1.6993730521127781
7487,24,1,120,959,1200000000.0,2083333.3333333333,50000000,10000000.0,10.0,1.0416666666665685e-10,104.16666666665685,1.6501982428245272
5983,22,1,110,879,1100000000.0,2272727.272727273,50000000,10000000.0,10.0,1.1363636363635292e-10,113.63636363635293,1.6286164605942006
4607,20,1,100,799,1000000000.0,2500000.0,50000000,10000000.0,10.0,1.2499999999999616e-10,124.99999999999616,1.6191322162426613
3359,18,1,90,719,900000000.0,2777777.777777778,50000000,10000000.0,10.0,1.3888888888888462e-10,138.88888888888462,1.6257780223961733
2783,17,1,85,679,850000000.0,2941176.470588235,50000000,10000000.0,10.0,1.4705882352940413e-10,147.05882352940412,1.63692874410038
16510,32,1,160,1278,1600000000.0,1562500.0,50000000,10000000.0,10.0,1.562499999999985e-10,156.2499999999985,1.8121349834882583
15486,31,1,155,1238,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,1.612903225806432e-10,161.2903225806432,1.7871977779180608
13054,29,1,145,1158,1450000000.0,1724137.9310344828,50000000,10000000.0,10.0,1.7241379310344389e-10,172.41379310344388,1.740653890275997
10782,27,1,135,1078,1350000000.0,1851851.851851852,50000000,10000000.0,10.0,1.851851851851795e-10,185.1851851851795,1.6993730521127781
799,13,1,65,519,650000000.0,3846153.846153846,50000000,10000000.0,10.0,1.9230769230768334e-10,192.30769230768334,1.7618169501731145
383,12,1,60,479,600000000.0,4166666.6666666665,50000000,10000000.0,10.0,2.0833333333332693e-10,208.33333333332692,1.8231459964122636
6718,23,1,115,918,1150000000.0,2173913.0434782607,50000000,10000000.0,10.0,2.1739130434781537e-10,217.39130434781538,1.6380924019399303
5982,22,1,110,878,1100000000.0,2272727.272727273,50000000,10000000.0,10.0,2.2727272727271908e-10,227.2727272727191,1.6286164605942006
16509,32,1,160,1277,1600000000.0,1562500.0,50000000,10000000.0,10.0,2.3437499999999776e-10,234.37499999999775,1.8121349834882583
15485,31,1,155,1237,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,2.4193548387095817e-10,241.93548387095817,1.7871977779180608
13053,29,1,145,1157,1450000000.0,1724137.9310344828,50000000,10000000.0,10.0,2.5862068965516583e-10,258.62068965516585,1.740653890275997
11677,28,1,140,1117,1400000000.0,1785714.2857142857,50000000,10000000.0,10.0,2.6785714285713273e-10,267.8571428571327,1.719285102739726
10781,27,1,135,1077,1350000000.0,1851851.851851852,50000000,10000000.0,10.0,2.7777777777776924e-10,277.77777777776924,1.6993730521127781
9501,26,1,130,1037,1300000000.0,1923076.923076923,50000000,10000000.0,10.0,2.8846153846153163e-10,288.46153846153163,1.6810858234231523
8669,25,1,125,997,1250000000.0,2000000.0,50000000,10000000.0,10.0,2.9999999999999607e-10,299.9999999999961,1.6646183953033267
107049,124,5,124,989,1240000000.0,403225.8064516129,50000000,10000000.0,10.0,3.0241935483870764e-10,302.41935483870765,1.146441690076384
16508,32,1,160,1276,1600000000.0,1562500.0,50000000,10000000.0,10.0,3.12499999999997e-10,312.499999999997,1.8121349834882583
15484,31,1,155,1236,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,3.225806451612864e-10,322.5806451612864,1.7871977779180608
14012,30,1,150,1196,1500000000.0,1666666.6666666667,50000000,10000000.0,10.0,3.333333333333231e-10,333.3333333333231,1.7633337410306589
13052,29,1,145,1156,1450000000.0,1724137.9310344828,50000000,10000000.0,10.0,3.4482758620688777e-10,344.82758620688776,1.740653890275997
11676,28,1,140,1116,1400000000.0,1785714.2857142857,50000000,10000000.0,10.0,3.5714285714284805e-10,357.1428571428481,1.719285102739726
127686,138,5,138,1100,1380000000.0,362318.84057971014,50000000,10000000.0,10.0,3.6231884057970994e-10,362.31884057970996,1.2482742881250177
10780,27,1,135,1076,1350000000.0,1851851.851851852,50000000,10000000.0,10.0,3.703703703703722e-10,370.3703703703722,1.6993730521127781
798,13,1,65,518,650000000.0,3846153.846153846,50000000,10000000.0,10.0,3.846153846153799e-10,384.6153846153799,1.7618169501731145
16507,32,1,160,1275,1600000000.0,1562500.0,50000000,10000000.0,10.0,3.9062499999999626e-10,390.62499999999625,1.8121349834882583
15483,31,1,155,1235,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,4.032258064516146e-10,403.2258064516146,1.7871977779180608
382,12,1,60,478,600000000.0,4166666.6666666665,50000000,10000000.0,10.0,4.166666666666671e-10,416.6666666666671,1.8231459964122636
143839,148,5,148,1179,1480000000.0,337837.8378378378,50000000,10000000.0,10.0,4.2229729729729576e-10,422.29729729729576,1.3225251394985984
13051,29,1,145,1155,1450000000.0,1724137.9310344828,50000000,10000000.0,10.0,4.310344827586097e-10,431.0344827586097,1.740653890275997
11675,28,1,140,1115,1400000000.0,1785714.2857142857,50000000,10000000.0,10.0,4.4642857142856337e-10,446.4285714285634,1.719285102739726
5980,22,1,110,876,1100000000.0,2272727.272727273,50000000,10000000.0,10.0,4.545454545454514e-10,454.5454545454514,1.6286164605942006
16506,32,1,160,1274,1600000000.0,1562500.0,50000000,10000000.0,10.0,4.687499999999955e-10,468.7499999999955,1.8121349834882583
5276,21,1,105,836,1050000000.0,2380952.380952381,50000000,10000000.0,10.0,4.761904761904729e-10,476.1904761904729,1.6221461187214612
15482,31,1,155,1234,1550000000.0,1612903.2258064516,50000000,10000000.0,10.0,4.838709677419296e-10,483.8709677419296,1.7871977779180608
14010,30,1,150,1194,1500000000.0,1666666.6666666667,50000000,10000000.0,10.0,4.999999999999979e-10,499.9999999999979,1.7633337410306589
145264,149,5,149,1186,1490000000.0,335570.4697986577,50000000,10000000.0,10.0,5.03355704697986e-10,503.355704697986,1.330007945993512
13050,29,1,145,1154,1450000000.0,1724137.9310344828,50000000,10000000.0,10.0,5.172413793103449e-10,517.2413793103449,1.740653890275997
7483,24,1,120,955,1200000000.0,2083333.3333333333,50000000,10000000.0,10.0,5.208333333333239e-10,520.8333333333239,1.6501982428245272
