,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
636,160,1,16,127,1600000000.0,62500.0,10000000,100000000.0,100.0,7.81250000000009e-11,78.12500000000091,1.0512720920988259
560,150,1,15,119,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,8.333333333333408e-11,83.33333333333408,0.988145874103066
298,120,1,12,95,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,1.0416666666666677e-10,104.16666666666677,0.8000979492824527
189,100,1,10,79,1000000000.0,100000.0,10000000,100000000.0,100.0,1.2499999999999946e-10,124.99999999999947,0.6765069716242661
635,160,1,16,126,1600000000.0,62500.0,10000000,100000000.0,100.0,1.5625000000000016e-10,156.25000000000017,1.0512720920988259
559,150,1,15,118,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.666666666666665e-10,166.66666666666652,0.988145874103066
387,130,1,13,102,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.9230769230769327e-10,192.30769230769326,0.8625076208038536
297,120,1,12,94,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,2.0833333333333354e-10,208.33333333333354,0.8000979492824527
634,160,1,16,125,1600000000.0,62500.0,10000000,100000000.0,100.0,2.343749999999994e-10,234.3749999999994,1.0512720920988259
558,150,1,15,117,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.500000000000006e-10,250.0000000000006,0.988145874103066
453,140,1,14,109,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.6785714285714266e-10,267.85714285714266,0.9252097602739726
386,130,1,13,101,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.8846153846153824e-10,288.4615384615382,0.8625076208038536
633,160,1,16,124,1600000000.0,62500.0,10000000,100000000.0,100.0,3.125000000000003e-10,312.50000000000034,1.0512720920988259
557,150,1,15,116,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,3.33333333333333e-10,333.33333333333303,0.988145874103066
452,140,1,14,108,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.57142857142858e-10,357.14285714285796,0.9252097602739726
187,100,1,10,77,1000000000.0,100000.0,10000000,100000000.0,100.0,3.7500000000000005e-10,375.00000000000006,0.6765069716242661
632,160,1,16,123,1600000000.0,62500.0,10000000,100000000.0,100.0,3.9062499999999957e-10,390.6249999999996,1.0512720920988259
556,150,1,15,115,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.166666666666671e-10,416.6666666666671,0.988145874103066
451,140,1,14,107,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.4642857142857164e-10,446.4285714285717,0.9252097602739726
631,160,1,16,122,1600000000.0,62500.0,10000000,100000000.0,100.0,4.687500000000005e-10,468.7500000000005,1.0512720920988259
555,150,1,15,114,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.999999999999995e-10,499.99999999999955,0.988145874103066
450,140,1,14,106,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.357142857142853e-10,535.7142857142853,0.9252097602739726
630,160,1,16,121,1600000000.0,62500.0,10000000,100000000.0,100.0,5.468749999999997e-10,546.8749999999998,1.0512720920988259
383,130,1,13,98,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.769230769230765e-10,576.9230769230765,0.8625076208038536
554,150,1,15,113,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.833333333333336e-10,583.3333333333336,0.988145874103066
629,160,1,16,120,1600000000.0,62500.0,10000000,100000000.0,100.0,6.250000000000006e-10,625.0000000000007,1.0512720920988259
553,150,1,15,112,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,6.666666666666677e-10,666.6666666666677,0.988145874103066
236,110,1,11,82,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,6.818181818181821e-10,681.8181818181821,0.7380605096957837
628,160,1,16,119,1600000000.0,62500.0,10000000,100000000.0,100.0,7.031249999999999e-10,703.1249999999999,1.0512720920988259
292,120,1,12,89,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,7.291666666666674e-10,729.1666666666674,0.8000979492824527
552,150,1,15,111,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,7.500000000000001e-10,750.0000000000001,0.988145874103066
